dataset,series_id,x,wear_mm,predicted_wear_mm,residual_mm
NUAA,W1,0.0,0.1273533823167991,0.12735340490605293,-2.2589253828586564e-08
NUAA,W1,1.9318200000000003,0.1381901390916089,0.1450301687018974,-0.006840029610288484
NUAA,W1,3.8816250000000005,0.1459060098458775,0.15487901751425576,-0.008973007668378247
NUAA,W1,5.860635000000001,0.1555320783010579,0.16310528059814908,-0.007573202297091186
NUAA,W1,7.707095000000001,0.1675549116381204,0.16989267778552938,-0.002337766147408993
NUAA,W1,9.491734999999998,0.176850442237092,0.17590448244212703,0.000945959794964979
NUAA,W1,11.401885,0.18096034422861,0.18189629385938144,-0.0009359496307714543
NUAA,W1,13.297625,0.1861608368613749,0.1874890965286778,-0.001328259667302878
NUAA,W1,15.163829999999999,0.1949240274915537,0.19271617876499103,0.0022078487265626556
NUAA,W1,17.081349999999997,0.2039330641962862,0.19784725448230822,0.006085809713977985
NUAA,W1,18.966639999999995,0.2099330448291465,0.20269042399426784,0.007242620834878644
NUAA,W1,20.838015,0.2149832480967126,0.20732665165666148,0.007656596440051122
NUAA,W1,22.72083,0.2190721483949485,0.21184000352272936,0.007232144872219154
NUAA,W1,24.638294999999992,0.2208582714938907,0.2162979942284758,0.004560277265414914
NUAA,W1,26.563404999999996,0.2249995230220028,0.22064791538033704,0.004351607641665756
NUAA,W1,28.401944999999998,0.2289990720714768,0.22469585790189672,0.004303214169580072
NUAA,W1,30.276674999999994,0.2300000000000017,0.2287260367867738,0.0012739632132278966
NUAA,W1,31.905995,0.2300002123807955,0.2321551148850018,-0.002154902504206302
NUAA,W1,33.741345,0.2313819787446651,0.2359420734590704,-0.0045600947144052995
NUAA,W1,35.36263499999999,0.2350007586112319,0.23922515930027943,-0.0042244006890475305
NUAA,W1,36.77800500000001,0.2382539610435244,0.2420465436516711,-0.003792582608146716
NUAA,W1,37.41754499999999,0.2395623323643711,0.24330834935339835,-0.00374601698902724
NUAA,W1,38.27911999999999,0.2412604757355036,0.24499584192767676,-0.0037353661921731562
NUAA,W1,39.92515999999999,0.2450124252278978,0.2481817236782325,-0.003169298450334701
NUAA,W1,41.45603,0.2490069209169561,0.25110188253395727,-0.0020949616170011787
NUAA,W1,42.545855,0.252266877254014,0.25315677656847124,-0.0008898993144572653
NUAA,W1,43.64184,0.2550602066520381,0.2552039814186565,-0.0001437747666184208
NUAA,W1,45.447160000000004,0.2595897919604978,0.2585356886021646,0.0010541033583332249
NUAA,W1,46.680865,0.2627168726924778,0.26078470984668956,0.0019321628457882323
NUAA,W2,0.0,0.0600000000000008,0.060000023537236394,-2.3537235591120087e-08
NUAA,W2,1.11397,0.0600000000000002,0.07298710099835666,-0.012987100998356461
NUAA,W2,2.4547600000000003,0.0600005192455571,0.08144318052754083,-0.021442661281983737
NUAA,W2,4.134019999999999,0.0644755804556153,0.08985071826367363,-0.025375137808058335
NUAA,W2,5.244689999999999,0.0688909249880413,0.09471729888150429,-0.025826373893462998
NUAA,W2,7.106824999999999,0.0700000000000005,0.10210115277379171,-0.032101152773791206
NUAA,W2,9.044749999999999,0.0700000000000009,0.10906332428098747,-0.03906332428098658
NUAA,W2,10.926245,0.0746324641425199,0.11531550804479221,-0.040683043902272314
NUAA,W2,12.782879999999997,0.0800000000000017,0.12110889534245464,-0.04110889534245295
NUAA,W2,14.688079999999998,0.0800000000000022,0.1267418028807693,-0.04674180288076711
NUAA,W2,16.56259,0.0999111584037817,0.13202847777767948,-0.03211731937389778
NUAA,W2,18.497875,0.120000000000041,0.1372616909442156,-0.017261690944174582
NUAA,W2,19.605080000000005,0.1397766297764946,0.14016550248567905,-0.0003888727091844457
NUAA,W2,21.500490000000006,0.1600000000000526,0.145001155119256,0.014998844880796613
NUAA,W2,23.457500000000007,0.1898347755407307,0.14983311038803268,0.04000166515269801
NUAA,W2,25.386020000000006,0.2200000000001323,0.15445255614189984,0.06554744385823247
NUAA,W2,27.197115000000004,0.2200000000000628,0.1586752384655818,0.06132476153448102
NUAA,W3,0.0,0.0600000000000007,0.0600000277526288,-2.7752628098398624e-08
NUAA,W3,2.046825,0.0650369773604848,0.08252914027488102,-0.017492162914396217
NUAA,W3,4.056305,0.0749587007635104,0.0947754321870419,-0.019816731423531506
NUAA,W3,6.08465,0.0800000000000005,0.10498219656811655,-0.024982196568116052
NUAA,W3,8.045455,0.0899975709381158,0.11370755160752485,-0.023709980669409048
NUAA,W3,10.049930000000002,0.1099885369981426,0.12185176877957064,-0.011863231781428049
NUAA,W3,11.982905000000002,0.124967782374238,0.12915763576189576,-0.00418985338765776
NUAA,W3,13.753905000000001,0.1351303937081217,0.13548033403819829,-0.00034994033007659797
NUAA,W3,15.643485000000002,0.1551158688804145,0.14190614414686303,0.013209724733551476
NUAA,W3,17.494015000000005,0.1700000000000166,0.1479292538028854,0.022070746197131202
NUAA,W3,19.41940000000001,0.1700000000000216,0.15395355543177916,0.016046444568242446
NUAA,W4,0.0,0.0814036927952097,0.0814037211848532,-2.8389643497161998e-08
NUAA,W4,1.7602749999999998,0.0868384537961975,0.1023462445782592,-0.015507790782061687
NUAA,W4,3.5461799999999997,0.0939996590396629,0.11406871261572611,-0.020069053576063214
NUAA,W4,5.39913,0.1025301767682724,0.12405670802986338,-0.021526531261590973
NUAA,W4,7.1848149999999995,0.1120515690456851,0.13253734065543402,-0.020485771609748918
NUAA,W4,9.042329999999998,0.1224155848094941,0.1405718028680471,-0.018156218058552998
NUAA,W4,10.883124999999996,0.1554030008015741,0.14795574696717254,0.007447253834401563
NUAA,W4,12.427855,0.184791212144845,0.15380481962954734,0.030986392515297667
NUAA,W4,14.140939999999995,0.1942391535975402,0.15998854018270536,0.034250613414834846
NUAA,W4,15.992569999999994,0.1986928143963282,0.16637170029128895,0.03232111410503924
NUAA,W4,17.805755,0.199999914530234,0.17236520694968777,0.02763470758054623
NUAA,W4,19.612724999999994,0.2000000000000013,0.1781199464889379,0.021880053511063396
NUAA,W4,21.39588,0.2000004201145267,0.18361170849952885,0.01638871161499786
NUAA,W4,23.185744999999997,0.2012111113014649,0.18895831494130375,0.012252796360161161
NUAA,W4,24.971539999999994,0.2049991078691562,0.19414440579609782,0.010854702073058387
NUAA,W4,26.796164999999995,0.208855839663084,0.1993050869322551,0.009550752730828893
NUAA,W4,28.668585,0.2099999740848035,0.20446911129443462,0.005530862790368879
NUAA,W4,30.569549999999992,0.2100000000000015,0.20958725390236277,0.00041274609763872205
NUAA,W4,32.40478999999999,0.2100000269061986,0.21441918302901633,-0.004419156122817736
NUAA,W4,34.207085,0.2110272617520388,0.21906796942185872,-0.008040707669819902
NUAA,W4,36.09936,0.2149988878211717,0.2238535322623214,-0.008854644441149695
NUAA,W4,37.92096,0.2188499196433788,0.22837448734353688,-0.009524567700158082
NUAA,W4,40.026689999999995,0.2200000000000021,0.2335028871402599,-0.013502887140257797
NUAA,W4,41.830964999999985,0.2200014813268546,0.23781914619804986,-0.017817664871195266
NUAA,W4,43.55724999999999,0.221219544629641,0.24188559008520436,-0.02066604545556336
NUAA,W4,45.36894999999999,0.2282664138483714,0.24609040932946555,-0.017823995481094146
NUAA,W4,47.216015,0.2459264134270239,0.25031461806529587,-0.00438820463827197
NUAA,W4,49.101910000000004,0.262229753765211,0.25456578967704346,0.007663964088167552
NUAA,W5,0.0,0.1550451411591239,0.15504517587578523,-3.4716661323486164e-08
NUAA,W5,1.711545,0.1600000001636488,0.18020276498734142,-0.020202764823692626
