model,series_id,observed_life_min,observed_event,predicted_life_min
CensoredAFT,W1,41.78802291640056,1,32.185822404697504
CensoredAFT,W2,27.197115000000004,0,30.03326389620507
CensoredAFT,W3,19.41940000000001,0,28.324117927696296
CensoredAFT,W4,47.68722865258189,1,24.94665095598323
CensoredAFT,W5,9.15222,0,23.526637350270562
CensoredAFT,W6,18.263477994828104,1,26.69290460436469
CensoredAFT,W7,7.660582655731237,1,19.892018450911237
CensoredAFT,W8,17.793979899149964,1,22.568805586131806
CensoredAFT,W9,8.054585,0,21.059727685238187
Phase2Equation,W1,41.78802291640056,1,45.23696578553308
Phase2Equation,W2,27.197115000000004,0,27.197115000000004
Phase2Equation,W3,19.41940000000001,0,19.41940000000001
Phase2Equation,W4,47.68722865258189,1,31.827374879051018
Phase2Equation,W5,9.15222,0,9.15222
Phase2Equation,W6,18.263477994828104,1,18.757035
Phase2Equation,W7,7.660582655731237,1,11.932195
Phase2Equation,W8,17.793979899149964,1,20.635882972442428
Phase2Equation,W9,8.054585,0,8.054585
Ridge,W1,41.78802291640056,1,46.680865
Ridge,W2,27.197115000000004,0,27.197115000000004
Ridge,W3,19.41940000000001,0,19.41940000000001
Ridge,W4,47.68722865258189,1,25.109127809915076
Ridge,W5,9.15222,0,2.7543040366730196
Ridge,W6,18.263477994828104,1,18.757035
Ridge,W7,7.660582655731237,1,11.932195
Ridge,W8,17.793979899149964,1,19.062650271410185
Ridge,W9,8.054585,0,8.054585
